v_hit,Count
TRBV10-1,0
TRBV10-2,0
TRBV10-3,0
TRBV11-1,0
TRBV11-2,0
TRBV11-3,0
TRBV12-2,0
TRBV12-3/4,0
TRBV12-5,0
TRBV13,0
TRBV14,0
TRBV15,0
TRBV16,0
TRBV18,0
TRBV19,0
TRBV2,0
TRBV20-1,0
TRBV24-1,0
TRBV25-1,0
TRBV27,0
TRBV28,0
TRBV29-1,0
TRBV3-1,0
TRBV3-2,0
TRBV30,0
TRBV4-1,0
TRBV4-2,0
TRBV4-3,0
TRBV5-1,0
TRBV5-4,0
TRBV5-5,0
TRBV5-6,0
TRBV5-7,0
TRBV5-8,0
TRBV6-1,0
TRBV6-2/3/5/6,0
TRBV6-4,0
TRBV6-7,0
TRBV6-8,0
TRBV6-9,0
TRBV7-2,0
TRBV7-3,0
TRBV7-4,0
TRBV7-5,0
TRBV7-6,0
TRBV7-7,0
TRBV7-8,0
TRBV7-9,0
TRBV9,0
Total,0
